"Time (s) Run #1","Voltage, Ch A (V) Run #1","Current, Ch D (A) Run #1","Charge (C) Run #1"
0.141,,,-6.15E-6
0.141,0.001,-4.473E-5,
0.141,,,-6.18E-6
0.142,8.569E-4,-5.327E-5,
0.142,,,-6.20E-6
0.142,0.003,-2.031E-5,
0.142,,,-6.21E-6
0.143,0.001,-3.252E-5,
0.143,,,-6.24E-6
0.143,0.001,-8.013E-5,
0.143,,,-6.27E-6
0.144,0.002,-4.351E-5,
0.144,,,-6.29E-6
0.144,0.001,-2.397E-5,
0.144,,,-6.30E-6
0.145,0.002,-1.177E-5,
0.145,,,-6.32E-6
0.145,0.002,-7.524E-5,
0.145,,,-6.35E-6
0.145,0.002,-5.938E-5,
0.146,,,-6.38E-6
0.146,0.002,-4.595E-5,
0.146,,,-6.40E-6
0.146,0.002,-3.496E-5,
0.147,,,-6.42E-6
0.147,0.002,-6.182E-5,
0.147,,,-6.44E-6
0.147,0.002,-2.520E-5,
0.148,,,-6.46E-6
0.148,0.002,-3.252E-5,
0.148,,,-6.48E-6
0.149,0.003,-7.524E-5,
0.149,,,-6.52E-6
0.149,9.790E-4,-5.571E-5,
0.149,,,-6.54E-6
0.150,9.790E-4,-5.327E-5,
0.150,,,-6.57E-6
0.150,0.002,-3.008E-5,
0.150,,,-6.59E-6
0.150,0.002,-4.961E-5,
0.151,,,-6.61E-6
0.151,0.001,-3.008E-5,
0.151,,,-6.61E-6
0.152,0.002,1.660E-6,
0.152,,,-6.62E-6
0.152,0.001,-4.839E-5,
0.152,,,-6.65E-6
0.153,0.002,-5.693E-5,
0.153,,,-6.67E-6
0.153,0.002,-3.374E-5,
0.153,,,-6.68E-6
0.154,0.002,-9.326E-6,
0.154,,,-6.69E-6
0.154,0.002,-3.008E-5,
0.154,,,-6.71E-6
0.155,0.002,-5.571E-5,
0.155,,,-6.75E-6
0.155,0.002,-6.792E-5,
0.155,,,-6.78E-6
0.156,0.002,-8.379E-5,
0.156,,,-6.83E-6
0.156,0.001,-9.233E-5,
0.156,,,-6.86E-6
0.157,9.790E-4,-2.642E-5,
0.157,,,-6.87E-6
0.157,0.003,-3.496E-5,
0.157,,,-6.90E-6
0.158,0.002,-7.402E-5,
0.158,,,-6.92E-6
0.158,0.002,-1.909E-5,
0.158,,,-6.94E-6
0.159,0.001,-6.060E-5,
0.159,,,-6.98E-6
0.159,0.002,-7.402E-5,
0.159,,,-7.01E-6
0.160,0.001,-6.426E-5,
0.160,,,-7.04E-6
0.160,0.002,-4.595E-5,
0.160,,,-7.06E-6
0.161,0.003,-3.740E-5,
0.161,,,-7.08E-6
0.161,0.001,-2.764E-5,
0.161,,,-7.09E-6
0.162,0.002,-2.275E-5,
0.162,,,-7.10E-6
0.162,0.001,-3.496E-5,
0.162,,,-7.13E-6
0.163,0.001,-6.548E-5,
0.163,,,-7.15E-6
0.163,0.002,-2.397E-5,
0.163,,,-7.17E-6
0.164,0.001,-5.205E-5,
0.164,,,-7.19E-6
0.164,0.002,-3.740E-5,
0.164,,,-7.22E-6
0.165,8.569E-4,-6.426E-5,
0.165,,,-7.24E-6
0.165,7.349E-4,-4.229E-5,
0.165,,,-7.26E-6
0.166,0.002,-3.223E-6,
0.166,,,-7.26E-6
0.166,0.002,-2.275E-5,
0.166,,,-7.27E-6
0.167,0.002,-2.031E-5,
0.167,,,-7.29E-6
0.167,0.002,-6.304E-5,
0.167,,,-7.33E-6
0.168,0.002,-6.792E-5,
0.168,,,-7.35E-6
0.168,0.002,-3.984E-5,
0.168,,,-7.37E-6
0.169,9.790E-4,-4.106E-5,
0.169,,,-7.40E-6
0.169,0.001,-6.548E-5,
0.169,,,-7.43E-6
0.170,0.002,-5.938E-5,
0.170,,,-7.45E-6
0.170,0.002,-8.105E-6,
0.170,,,-7.46E-6
0.171,0.002,-4.106E-5,
0.171,,,-7.47E-6
0.171,0.002,-1.299E-5,
0.171,,,-7.48E-6
0.172,0.002,-2.520E-5,
0.172,,,-7.49E-6
0.172,0.001,-1.665E-5,
0.172,,,-7.51E-6
0.173,0.002,-4.229E-5,
0.173,,,-7.54E-6
0.173,0.001,-8.379E-5,
0.173,,,-7.57E-6
0.174,0.002,-4.595E-5,
0.174,,,-7.59E-6
0.174,0.002,-1.421E-5,
0.174,,,-7.59E-6
0.175,0.003,-9.326E-6,
0.175,,,-7.61E-6
0.175,8.569E-4,-5.205E-5,
0.175,,,-7.64E-6
0.176,0.002,-6.548E-5,
0.176,,,-7.66E-6
0.176,0.002,-2.153E-5,
0.176,,,-7.68E-6
0.177,0.002,-4.839E-5,
0.177,,,-7.70E-6
0.177,9.790E-4,-5.083E-5,
0.177,,,-7.72E-6
0.177,0.002,-3.374E-5,
0.178,,,-7.75E-6
0.178,0.001,-6.182E-5,
0.178,,,-7.78E-6
0.179,0.002,-6.426E-5,
0.179,,,-7.80E-6
0.179,0.001,-1.665E-5,
0.179,,,-7.81E-6
0.179,0.002,-2.886E-5,
0.180,,,-7.83E-6
0.180,0.002,-3.252E-5,
0.180,,,-7.84E-6
0.181,0.002,-3.496E-5,
0.181,,,-7.87E-6
0.181,0.002,-6.426E-5,
0.181,,,-7.91E-6
0.181,0.002,-9.600E-5,
0.182,,,-7.94E-6
0.182,0.002,-5.205E-5,
0.182,,,-7.97E-6
0.183,0.002,-3.130E-5,
0.183,,,-7.98E-6
0.183,0.001,-3.984E-5,
0.183,,,-8.00E-6
0.183,0.002,-3.252E-5,
0.184,,,-8.02E-6
0.184,0.003,-3.252E-5,
0.184,,,-8.03E-6
0.185,0.003,-3.252E-5,
0.185,,,-8.06E-6
0.185,0.002,-7.158E-5,
0.185,,,-8.09E-6
0.185,0.002,-3.740E-5,
0.186,,,-8.11E-6
0.186,0.001,-6.670E-5,
0.186,,,-8.15E-6
0.187,0.002,-7.646E-5,
0.187,,,-8.18E-6
0.187,9.790E-4,-5.205E-5,
0.187,,,-8.20E-6
0.187,9.790E-4,-4.229E-5,
0.188,,,-8.23E-6
0.188,0.002,-5.205E-5,
0.188,,,-8.25E-6
0.189,0.001,-2.031E-5,
0.189,,,-8.26E-6
0.189,0.002,-2.275E-5,
0.189,,,-8.28E-6
0.190,0.002,-5.815E-5,
0.190,,,-8.31E-6
0.190,0.002,-6.426E-5,
0.190,,,-8.33E-6
0.191,4.907E-4,-3.862E-5,
0.191,,,-8.35E-6
0.191,0.002,-4.473E-5,
0.191,,,-8.38E-6
0.191,0.002,-3.984E-5,
0.192,,,-8.41E-6
0.192,0.002,-9.600E-5,
0.192,,,-8.43E-6
0.193,0.002,4.395E-7,
0.193,,,-8.46E-6
0.193,0.002,-8.867E-5,
0.193,,,-8.49E-6
0.193,0.002,-3.984E-5,
0.194,,,-8.51E-6
0.194,0.002,-6.548E-5,
0.194,,,-8.54E-6
0.195,0.001,-5.571E-5,
0.195,,,-8.57E-6
0.195,0.002,-6.304E-5,
0.195,,,-8.61E-6
0.195,0.001,-8.257E-5,
0.196,,,-8.65E-6
0.196,0.003,-6.426E-5,
0.196,,,-8.67E-6
0.197,0.002,-4.717E-5,
0.197,,,-8.70E-6
0.197,0.002,-3.862E-5,
0.197,,,-8.72E-6
0.198,0.001,-5.327E-5,
0.198,,,-8.74E-6
0.198,0.002,-9.326E-6,
0.198,,,-8.75E-6
0.199,9.790E-4,-3.252E-5,
0.199,,,-8.76E-6
0.199,8.569E-4,-4.473E-5,
0.199,,,-8.78E-6
0.200,0.002,-3.008E-5,
0.200,,,-8.81E-6
0.200,0.002,-6.670E-5,
0.200,,,-8.83E-6
0.201,0.003,-1.055E-5,
0.201,,,-8.84E-6
0.201,0.001,-2.886E-5,
0.201,,,-8.85E-6
0.202,0.001,-3.374E-5,
0.202,,,-8.87E-6
0.202,0.002,-3.130E-5,
0.202,,,-8.89E-6
0.203,0.002,-4.595E-5,
0.203,,,-8.91E-6
0.203,9.790E-4,-4.473E-5,
0.203,,,-8.93E-6
0.204,0.002,-4.595E-5,
0.204,,,-8.95E-6
0.204,0.001,-3.496E-5,
0.204,,,-8.98E-6
0.205,0.002,-7.891E-5,
0.205,,,-9.01E-6
0.205,0.002,-3.862E-5,
0.205,,,-9.04E-6
0.206,0.001,-6.182E-5,
0.206,,,-9.06E-6
0.206,0.002,-3.984E-5,
0.206,,,-9.08E-6
0.207,0.001,-2.764E-5,
0.207,,,-9.10E-6
0.207,0.001,-5.205E-5,
0.207,,,-9.13E-6
0.208,0.002,-6.670E-5,
0.208,,,-9.16E-6
0.208,0.002,-5.327E-5,
0.208,,,-9.19E-6
0.208,0.001,-8.989E-5,
0.209,,,-9.22E-6
0.209,0.002,-2.153E-5,
0.209,,,-9.25E-6
0.210,0.001,-7.280E-5,
0.210,,,-9.28E-6
0.210,0.002,-4.839E-5,
0.210,,,-9.30E-6
0.210,0.002,-4.229E-5,
0.211,,,-9.32E-6
0.211,0.002,-4.595E-5,
0.211,,,-9.35E-6
0.212,0.001,-5.205E-5,
0.212,,,-9.37E-6
0.212,0.002,-4.839E-5,
0.212,,,-9.39E-6
0.212,0.002,-3.008E-5,
0.213,,,-9.41E-6
0.213,0.002,-4.229E-5,
0.213,,,-9.44E-6
0.214,0.003,-7.158E-5,
0.214,,,-9.46E-6
0.214,0.001,-8.105E-6,
0.214,,,-9.47E-6
0.214,0.002,-3.374E-5,
0.215,,,-9.48E-6
0.215,0.002,-2.397E-5,
0.215,,,-9.49E-6
0.216,0.003,-2.642E-5,
0.216,,,-9.51E-6
0.216,0.001,-4.595E-5,
0.216,,,-9.54E-6
0.216,0.002,-6.914E-5,
0.217,,,-9.57E-6
0.217,0.001,-4.961E-5,
0.217,,,-9.59E-6
0.218,8.569E-4,-4.351E-5,
0.218,,,-9.63E-6
0.218,0.001,-8.257E-5,
0.218,,,-9.66E-6
0.218,8.569E-4,-4.106E-5,
0.219,,,-9.69E-6
0.219,0.001,-7.769E-5,
0.219,,,-9.72E-6
0.220,0.002,-3.984E-5,
