"Time (s) Run #1","Voltage, Ch A (V) Run #1","Current, Ch D (A) Run #1","Charge (C) Run #1"
0.119,,,-1.16E-5
0.119,0.009,-8.257E-5,
0.119,,,-1.16E-5
0.120,0.008,-1.082E-4,
0.120,,,-1.17E-5
0.120,0.009,-5.938E-5,
0.120,,,-1.17E-5
0.120,0.008,-1.009E-4,
0.121,,,-1.18E-5
0.121,0.008,-9.844E-5,
0.121,,,-1.18E-5
0.121,0.008,-1.265E-4,
0.122,,,-1.19E-5
0.122,0.009,-9.600E-5,
0.122,,,-1.19E-5
0.122,0.008,-9.722E-5,
0.123,,,-1.20E-5
0.123,0.009,-9.111E-5,
0.123,,,-1.20E-5
0.123,0.008,-9.233E-5,
0.124,,,-1.21E-5
0.124,0.009,-8.379E-5,
0.124,,,-1.21E-5
0.125,0.008,-1.045E-4,
0.125,,,-1.22E-5
0.125,0.007,-6.426E-5,
0.125,,,-1.22E-5
0.126,0.009,-1.058E-4,
0.126,,,-1.23E-5
0.126,0.008,-8.501E-5,
0.126,,,-1.23E-5
0.127,0.008,-7.402E-5,
0.127,,,-1.23E-5
0.127,0.009,-7.402E-5,
0.127,,,-1.24E-5
0.128,0.009,-9.844E-5,
0.128,,,-1.24E-5
0.128,0.008,-8.135E-5,
0.128,,,-1.25E-5
0.129,0.008,-6.304E-5,
0.129,,,-1.25E-5
0.129,0.009,-7.646E-5,
0.129,,,-1.25E-5
0.130,0.008,-1.131E-4,
0.130,,,-1.26E-5
0.130,0.009,-9.722E-5,
0.130,,,-1.26E-5
0.131,0.008,-1.009E-4,
0.131,,,-1.27E-5
0.131,0.008,-6.914E-5,
0.131,,,-1.27E-5
0.132,0.009,-1.021E-4,
0.132,,,-1.28E-5
0.132,0.008,-7.769E-5,
0.132,,,-1.28E-5
0.133,0.009,-8.379E-5,
0.133,,,-1.29E-5
0.133,0.007,-1.497E-4,
0.133,,,-1.29E-5
0.134,0.009,-1.143E-4,
0.134,,,-1.30E-5
0.134,0.009,-7.769E-5,
0.134,,,-1.30E-5
0.135,0.009,-8.867E-5,
0.135,,,-1.31E-5
0.135,0.008,-1.106E-4,
0.135,,,-1.31E-5
0.136,0.009,-1.241E-4,
0.136,,,-1.32E-5
0.136,0.008,-1.167E-4,
0.136,,,-1.32E-5
0.137,0.008,-6.304E-5,
0.137,,,-1.33E-5
0.137,0.008,-9.722E-5,
0.137,,,-1.33E-5
0.138,0.007,-1.082E-4,
0.138,,,-1.34E-5
0.138,0.009,-8.867E-5,
0.138,,,-1.34E-5
0.139,0.008,-1.045E-4,
0.139,,,-1.35E-5
0.139,0.009,-6.914E-5,
0.139,,,-1.35E-5
0.140,0.008,-1.045E-4,
0.140,,,-1.36E-5
0.140,0.007,-9.844E-5,
0.140,,,-1.36E-5
0.141,0.008,-6.914E-5,
0.141,,,-1.36E-5
0.141,0.008,-1.021E-4,
0.141,,,-1.37E-5
0.142,0.007,-1.021E-4,
0.142,,,-1.37E-5
0.142,0.009,-7.646E-5,
0.142,,,-1.38E-5
0.143,0.008,-1.167E-4,
0.143,,,-1.38E-5
0.143,0.008,-9.600E-5,
0.143,,,-1.39E-5
0.144,0.008,-1.033E-4,
0.144,,,-1.39E-5
0.144,0.010,-9.478E-5,
0.144,,,-1.40E-5
0.145,0.008,-9.844E-5,
0.145,,,-1.40E-5
0.145,0.008,-8.135E-5,
0.145,,,-1.41E-5
0.145,0.008,-1.106E-4,
0.146,,,-1.41E-5
0.146,0.008,-1.131E-4,
0.146,,,-1.42E-5
0.146,0.009,-1.119E-4,
0.147,,,-1.42E-5
0.147,0.009,-6.548E-5,
0.147,,,-1.43E-5
0.147,0.009,-9.111E-5,
0.148,,,-1.43E-5
0.148,0.009,-8.379E-5,
0.148,,,-1.44E-5
0.149,0.008,-7.036E-5,
0.149,,,-1.44E-5
0.149,0.008,-7.769E-5,
0.149,,,-1.44E-5
0.150,0.009,-1.021E-4,
0.150,,,-1.45E-5
0.150,0.008,-6.914E-5,
0.150,,,-1.45E-5
0.150,0.008,-8.867E-5,
0.151,,,-1.46E-5
0.151,0.009,-8.501E-5,
0.151,,,-1.46E-5
0.152,0.009,-1.143E-4,
0.152,,,-1.47E-5
0.152,0.009,-9.478E-5,
0.152,,,-1.47E-5
0.153,0.008,-8.623E-5,
0.153,,,-1.48E-5
0.153,0.008,-7.646E-5,
0.153,,,-1.48E-5
0.154,0.009,-5.327E-5,
0.154,,,-1.48E-5
0.154,0.009,-1.399E-4,
0.154,,,-1.49E-5
0.155,0.008,-1.119E-4,
0.155,,,-1.50E-5
0.155,0.009,-7.158E-5,
0.155,,,-1.50E-5
0.156,0.008,-9.233E-5,
0.156,,,-1.50E-5
0.156,0.008,-1.119E-4,
0.156,,,-1.51E-5
0.157,0.008,-1.167E-4,
0.157,,,-1.52E-5
0.157,0.008,-1.094E-4,
0.157,,,-1.52E-5
0.158,0.007,-6.670E-5,
0.158,,,-1.52E-5
0.158,0.008,-8.013E-5,
0.158,,,-1.53E-5
0.159,0.007,-1.119E-4,
0.159,,,-1.53E-5
0.159,0.008,-8.135E-5,
0.159,,,-1.54E-5
0.160,0.007,-9.478E-5,
0.160,,,-1.54E-5
0.160,0.008,-1.155E-4,
0.160,,,-1.55E-5
0.161,0.008,-1.155E-4,
0.161,,,-1.55E-5
0.161,0.008,-1.082E-4,
0.161,,,-1.56E-5
0.162,0.007,-8.745E-5,
0.162,,,-1.56E-5
0.162,0.009,-4.839E-5,
0.162,,,-1.57E-5
0.163,0.008,-1.009E-4,
0.163,,,-1.57E-5
0.163,0.009,-1.094E-4,
0.163,,,-1.58E-5
0.164,0.008,-1.314E-4,
0.164,,,-1.58E-5
0.164,0.009,-5.938E-5,
0.164,,,-1.59E-5
0.165,0.008,-9.111E-5,
0.165,,,-1.59E-5
0.165,0.008,-1.277E-4,
0.165,,,-1.60E-5
0.166,0.008,-1.363E-4,
0.166,,,-1.60E-5
0.166,0.010,-6.304E-5,
0.166,,,-1.61E-5
0.167,0.010,-7.769E-5,
0.167,,,-1.61E-5
0.167,0.008,-8.867E-5,
0.167,,,-1.62E-5
0.168,0.008,-1.204E-4,
0.168,,,-1.62E-5
0.168,0.009,-1.436E-4,
0.168,,,-1.63E-5
0.169,0.009,-8.867E-5,
0.169,,,-1.63E-5
0.169,0.008,-7.402E-5,
0.169,,,-1.64E-5
0.170,0.009,-1.436E-4,
0.170,,,-1.64E-5
0.170,0.009,-1.106E-4,
0.170,,,-1.65E-5
0.171,0.009,-7.646E-5,
0.171,,,-1.65E-5
0.171,0.008,-1.412E-4,
0.171,,,-1.66E-5
0.172,0.008,-1.253E-4,
0.172,,,-1.67E-5
0.172,0.007,-7.524E-5,
0.172,,,-1.67E-5
0.173,0.008,-7.524E-5,
0.173,,,-1.67E-5
0.173,0.009,-6.426E-5,
0.173,,,-1.68E-5
0.174,0.007,-9.355E-5,
0.174,,,-1.68E-5
0.174,0.008,-7.891E-5,
0.174,,,-1.69E-5
0.175,0.008,-9.111E-5,
0.175,,,-1.69E-5
0.175,0.008,-1.009E-4,
0.175,,,-1.69E-5
0.176,0.008,-5.938E-5,
0.176,,,-1.70E-5
0.176,0.008,-7.158E-5,
0.176,,,-1.70E-5
0.177,0.008,-1.021E-4,
0.177,,,-1.71E-5
0.177,0.008,-1.363E-4,
0.177,,,-1.71E-5
0.177,0.008,-9.355E-5,
0.178,,,-1.72E-5
0.178,0.008,-8.501E-5,
0.178,,,-1.72E-5
0.179,0.008,-7.158E-5,
0.179,,,-1.73E-5
0.179,0.008,-7.646E-5,
0.179,,,-1.73E-5
0.179,0.007,-6.060E-5,
0.180,,,-1.73E-5
0.180,0.008,-5.083E-5,
0.180,,,-1.73E-5
0.181,0.007,-2.397E-5,
0.181,,,-1.74E-5
0.181,0.009,-9.600E-5,
0.181,,,-1.74E-5
0.181,0.009,-5.449E-5,
0.182,,,-1.74E-5
0.182,0.007,-4.717E-5,
0.182,,,-1.75E-5
0.183,0.008,-7.524E-5,
0.183,,,-1.75E-5
0.183,0.008,-7.769E-5,
0.183,,,-1.75E-5
0.183,0.009,-4.473E-5,
0.184,,,-1.76E-5
0.184,0.008,-4.961E-5,
0.184,,,-1.76E-5
0.185,0.007,-5.327E-5,
0.185,,,-1.76E-5
0.185,0.008,-7.402E-5,
0.185,,,-1.76E-5
0.185,0.008,-5.693E-5,
0.186,,,-1.77E-5
0.186,0.008,-6.548E-5,
0.186,,,-1.77E-5
0.187,0.008,-1.106E-4,
0.187,,,-1.78E-5
0.187,0.009,-4.351E-5,
0.187,,,-1.78E-5
0.187,0.008,-6.426E-5,
0.188,,,-1.78E-5
0.188,0.008,-5.693E-5,
0.188,,,-1.78E-5
0.189,0.009,-5.083E-5,
0.189,,,-1.79E-5
0.189,0.008,-6.670E-5,
0.189,,,-1.79E-5
0.190,0.008,-8.867E-5,
0.190,,,-1.80E-5
0.190,0.008,-7.158E-5,
0.190,,,-1.80E-5
